category,criterion,weight,pass_condition,evidence_required,status
legal,Exact contracting entity and beneficial owners,5,Verified against primary records,Formation docs and IDs,not_started
legal,Actual manufacturer disclosed,5,Manufacturing site identified,Quality agreement and site record,not_started
regulatory,Material classification reviewed,5,Written counsel approval by SKU,Counsel memo,not_started
customs,Import classification approved,5,Importer and broker approve flow,Written broker guidance,not_started
quality,Specification and change control,5,Signed and versioned,Quality agreement,not_started
quality,Identity method,5,Fit-for-purpose independent method,Original laboratory report,not_started
quality,Purity method,4,Method and acceptance criteria approved,Chromatogram and report,not_started
quality,Mass or content method,5,Quantitative result available,Original laboratory report,not_started
quality,Sterility/endotoxin where applicable,5,Risk-based panel defined,Original laboratory report,not_started
quality,Chain of custody,5,Every custody event recorded,Receiving and shipment records,not_started
operations,Lead time reliability,3,Three pilot deliveries within tolerance,Purchase and receipt history,not_started
operations,Recall cooperation,5,Mock recall completed in four hours,Simulation report,not_started
financial,Landed economics,3,All costs and reserves known,Invoices freight fees and testing,not_started
continuity,Backup capacity,3,Second source or documented contingency,Capacity evidence,not_started
security,Restricted-party screening,5,Entity and principals clear,Screening record,not_started
